Logger started at: Tuesday, July 26, 2011 6:24:16 AM CDT
Component: com.appcelerator.titanium.mobile
Version: 1.0.0.1310505598
[24:16.393] Sent: >21*1311679456394*version<
[24:16.412] Recv: >1311679456394*2*0.0.1<
[24:16.414] Sent: >36*1311679456395*option*monitorXHR*true<
[24:16.420] Recv: >1311679456395<
[24:16.421] Sent: >45*1311679456396*option*stepFiltersEnabled*false<
[24:16.454] Recv: >1311679456396<
[24:16.455] Sent: >45*1311679456397*option*suspendOnFirstLine*false<
[24:16.471] Recv: >1311679456397<
[24:16.471] Sent: >46*1311679456398*option*suspendOnExceptions*false<
[24:16.487] Recv: >1311679456398<
[24:16.487] Sent: >41*1311679456399*option*suspendOnErrors*true<
[24:16.491] Recv: >1311679456399<
[24:16.494] Sent: >43*1311679456400*option*suspendOnKeywords*true<
[24:16.500] Recv: >1311679456400<
[24:16.500] Sent: >45*1311679456401*option*bypassConstructors*false<
[24:16.504] Recv: >1311679456401<
[24:16.509] Sent: >45*1311679456402*option*stepFiltersEnabled*false<
[24:16.516] Recv: >1311679456402<
[24:16.516] Sent: >30*1311679456403*detailFormatters<
[24:16.520] Recv: >1311679456403<
[24:16.522] Sent: >20*1311679456404*enable<
[24:16.534] Recv: >1311679456404<
[24:16.639] Recv: >threads*created*12*kroll$1: [app:/app.js]<
[24:16.738] Recv: >scripts*created*12|app:/app.js|app:/app.js|1|10<
[24:16.807] Recv: >scripts*created*12|app:/js/lib/require_once.js|app:/js/lib/require_once.js|1|13<
[24:16.907] Recv: >log*err*[ERROR] Wrapped java.lang.IllegalArgumentException: size < 0 (file:///android_asset/Resources/js/lib/require_once.js#08)<
[24:16.908] Recv: >suspended*12*exception*app:/js/lib/require_once.js*8<
[24:16.908] Sent: >23*1311679456405*frames*12<
[24:16.945] Recv: >1311679456405*0||moduleName|app:/js/lib/require_once.js|8|false|1311679456658|674003522*1|||app:/app.js|6|false|1311679456686|333894860<
[24:22.936] Sent: >68*1311679456406*breakpoint*create*app:/js/lib/require_once.js*8*1*0**1<
[24:22.941] Recv: >1311679456406*created<
[24:25.633] Sent: >61*1311679456407*breakpoint*remove*app:/js/lib/require_once.js*8<
[24:25.639] Recv: >1311679456407*removed<
[24:28.664] Sent: >10**resume*12<
[24:28.673] Recv: >resumed*12*resume<
----------End of file----------
